CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,actproxy,RecencyClusters,freqscore,FreqClusters,cardbalance,revenue,RevenueClusters,Score,Segments
C10051,863.809833,1.0,507.5,507.5,0.0,695.097159,0.166667,0.166667,0.0,0.083333,2,3,4000.0,587.866451,286.448719,0.083333,12,0.25,0,0.333334,0,3136.1901669999997,3643.6901669999997,0,0,Low-Value
C10054,1565.6810990000001,1.0,0.0,0.0,0.0,321.35913500000004,0.0,0.0,0.0,0.25,3,0,3500.0,691.825279,581.481917,0.0,12,0.0,0,0.0,0,1934.3189009999999,1934.3189009999999,0,0,Low-Value
C10058,3625.218146,1.0,313.27,313.27,0.0,668.468743,0.25,0.25,0.0,0.416667,5,4,4000.0,0.0,,0.0,12,0.3333333333333333,0,0.5,0,374.78185399999984,688.0518539999998,0,0,Low-Value
C10060,3971.1387649999997,1.0,0.0,0.0,0.0,224.575517,0.0,0.0,0.0,0.181818,3,0,4000.0,764.9387280000001,1600.212243,0.0,11,0.0,0,0.0,0,28.861235000000306,28.861235000000306,0,0,Low-Value
C10063,1555.793701,1.0,66.2,66.2,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1600.0,338.083661,837.215674,0.0,12,0.08333333333333333,0,0.166666,0,44.206298999999944,110.40629899999995,0,0,Low-Value
C10064,809.582978,0.909091,0.0,0.0,0.0,3819.6724659999995,0.0,0.0,0.0,0.545455,7,0,4150.0,4372.148647999999,241.645387,0.090909,11,0.0,0,0.0,0,3340.417022,3340.417022,0,0,Low-Value
C10065,7.152356,0.090909,840.0,840.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1600.0,0.0,,0.0,12,0.08333333333333333,0,0.166666,0,1592.847644,2432.847644,0,0,Low-Value
C10069,809.847455,0.875,0.0,0.0,0.0,908.4236080000001,0.0,0.0,0.0,0.125,1,0,1500.0,146.074769,179.41249299999998,0.0,8,0.0,0,0.0,0,690.152545,690.152545,0,0,Low-Value
C10070,1576.3050289999999,1.0,0.0,0.0,0.0,382.908547,0.0,0.0,0.0,0.416667,6,0,2500.0,540.022225,352.883804,0.0,12,0.0,0,0.0,0,923.6949710000001,923.6949710000001,0,0,Low-Value
C10082,1205.716678,1.0,0.0,0.0,0.0,38.325801,0.0,0.0,0.0,0.083333,1,0,1200.0,29.278671000000003,8242.687678,0.0,12,0.0,0,0.0,0,-5.716678000000002,-5.716678000000002,0,0,Low-Value
C10093,4037.3056579999998,1.0,45.0,45.0,0.0,104.23806400000001,0.083333,0.083333,0.0,0.083333,1,1,4500.0,1073.844885,968.941265,0.0,12,0.08333333333333333,0,0.166666,0,462.69434200000023,507.69434200000023,0,0,Low-Value
C10094,6110.265264,1.0,0.0,0.0,0.0,2717.253917,0.0,0.0,0.0,0.416667,14,0,6500.0,1502.205631,2864.380327,0.0,12,0.0,0,0.0,0,389.73473600000034,389.73473600000034,0,0,Low-Value
C10097,1321.4760800000001,1.0,45.65,45.65,0.0,495.657934,0.083333,0.083333,0.0,0.083333,1,1,1800.0,440.84043899999995,312.560636,0.0,12,0.08333333333333333,0,0.166666,0,478.52391999999986,524.1739199999998,0,0,Low-Value
C10098,1307.717841,1.0,405.6,405.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,2400.0,0.0,,0.0,12,0.16666666666666666,0,0.333334,0,1092.282159,1497.8821590000002,0,0,Low-Value
C10099,2329.485768,1.0,213.34,213.34,0.0,0.0,0.25,0.25,0.0,0.0,0,3,2400.0,0.0,,0.0,12,0.25,0,0.5,0,70.51423199999999,283.854232,0,0,Low-Value
C10100,1139.782882,1.0,0.0,0.0,0.0,120.61291200000001,0.0,0.0,0.0,0.083333,1,0,1200.0,151.823651,2906.110765,0.0,12,0.0,0,0.0,0,60.21711800000003,60.21711800000003,0,0,Low-Value
C10102,3505.671311,1.0,0.0,0.0,0.0,1713.9843050000002,0.0,0.0,0.0,0.5,6,0,4000.0,0.0,,0.0,12,0.0,0,0.0,0,494.32868899999994,494.32868899999994,0,0,Low-Value
C10104,0.0,0.0,0.0,0.0,0.0,89.84900400000001,0.0,0.0,0.0,0.14285699999999998,1,0,3000.0,138.02142800000001,,0.0,7,0.0,0,0.0,0,3000.0,3000.0,0,0,Low-Value
C10105,4.875885,0.666667,20.0,20.0,0.0,0.0,0.11111099999999999,0.11111099999999999,0.0,0.0,0,1,1500.0,26.487919,60.913577000000004,0.0,9,0.1111111111111111,0,0.22222199999999998,0,1495.124115,1515.124115,0,0,Low-Value
C10109,862.0723800000001,1.0,0.0,0.0,0.0,920.3098050000001,0.0,0.0,0.0,0.083333,1,0,4000.0,2236.8902550000003,214.828158,0.083333,12,0.0,0,0.0,0,3137.92762,3137.92762,0,0,Low-Value
C10110,2441.542991,1.0,808.0,808.0,0.0,959.8572630000001,0.25,0.25,0.0,0.333333,6,4,4000.0,532.741699,1026.976,0.0,12,0.3333333333333333,0,0.5,0,1558.4570090000002,2366.457009,0,0,Low-Value
C10112,4986.400804,1.0,0.0,0.0,0.0,5439.467563,0.0,0.0,0.0,0.583333,40,0,8000.0,1241.538024,1439.2308990000001,0.0,12,0.0,0,0.0,0,3013.599196,3013.599196,0,0,Low-Value
C10116,3393.351236,1.0,0.0,0.0,0.0,1008.3486720000001,0.0,0.0,0.0,0.083333,2,0,4200.0,0.0,,0.0,12,0.0,0,0.0,0,806.648764,806.648764,0,0,Low-Value
C10118,6458.562089999999,1.0,0.0,0.0,0.0,3360.2287939999997,0.0,0.0,0.0,0.25,11,0,7000.0,1277.7677800000001,2760.115734,0.0,12,0.0,0,0.0,0,541.4379100000006,541.4379100000006,0,0,Low-Value
C10122,1785.626943,1.0,0.0,0.0,0.0,576.2063820000001,0.0,0.0,0.0,0.25,10,0,1800.0,687.691735,2439.136113,0.0,12,0.0,0,0.0,0,14.373057000000017,14.373057000000017,0,0,Low-Value
C10124,2662.629852,1.0,0.0,0.0,0.0,509.023801,0.0,0.0,0.0,0.333333,4,0,3000.0,932.4188550000001,709.2070160000001,0.0,12,0.0,0,0.0,0,337.370148,337.370148,0,0,Low-Value
C10128,2876.396444,1.0,0.0,0.0,0.0,998.84867,0.0,0.0,0.0,0.166667,2,0,3200.0,1065.426905,1412.648089,0.0,12,0.0,0,0.0,0,323.603556,323.603556,0,0,Low-Value
C10132,57.453201,0.75,0.0,0.0,0.0,272.713302,0.0,0.0,0.0,0.125,1,0,1200.0,385.853874,84.697292,0.166667,8,0.0,0,0.0,0,1142.546799,1142.546799,0,0,Low-Value
C10148,5347.814547,1.0,0.0,0.0,0.0,4002.3533840000005,0.0,0.0,0.0,0.5,9,0,7000.0,0.0,,0.0,12,0.0,0,0.0,0,1652.185453,1652.185453,0,0,Low-Value
C10163,1734.510004,1.0,0.0,0.0,0.0,66.275851,0.0,0.0,0.0,0.166667,2,0,1800.0,363.474455,2827.997525,0.0,12,0.0,0,0.0,0,65.48999600000002,65.48999600000002,0,0,Low-Value
C10165,1046.37041,1.0,295.0,295.0,0.0,93.579809,0.083333,0.083333,0.0,0.083333,1,2,1200.0,439.407082,362.838185,0.0,12,0.16666666666666666,0,0.166666,0,153.62959,448.62959,0,0,Low-Value
C10166,2737.367678,1.0,0.0,0.0,0.0,429.69116399999996,0.0,0.0,0.0,0.416667,5,0,3000.0,778.827993,721.798576,0.0,12,0.0,0,0.0,0,262.63232199999993,262.63232199999993,0,0,Low-Value
C10169,1610.040203,1.0,557.19,525.64,31.55,0.0,0.25,0.083333,0.166667,0.0,0,5,4000.0,422.71184800000003,616.0058389999999,0.0,12,0.4166666666666667,0,0.5,0,2389.959797,2947.149797,0,0,Low-Value
C10171,5800.587339,1.0,0.0,0.0,0.0,369.950794,0.0,0.0,0.0,0.083333,1,0,6500.0,1346.365584,1972.526015,0.0,12,0.0,0,0.0,0,699.4126610000003,699.4126610000003,0,0,Low-Value
C10176,840.804076,0.666667,0.0,0.0,0.0,3671.777443,0.0,0.0,0.0,0.22222199999999998,5,0,4000.0,3621.266477,193.171404,0.0,9,0.0,0,0.0,0,3159.195924,3159.195924,0,0,Low-Value
C10179,2187.7322649999996,0.857143,0.0,0.0,0.0,3905.3262560000003,0.0,0.0,0.0,0.28571399999999997,9,0,3000.0,1423.788603,461.36562599999996,0.2,7,0.0,0,0.0,0,812.2677350000004,812.2677350000004,0,0,Low-Value
C10181,1608.451822,1.0,0.0,0.0,0.0,205.737165,0.0,0.0,0.0,0.166667,2,0,1800.0,470.56598399999996,408.799147,0.0,12,0.0,0,0.0,0,191.548178,191.548178,0,0,Low-Value
C10183,2933.240476,1.0,0.0,0.0,0.0,2040.433925,0.0,0.0,0.0,0.583333,13,0,3000.0,2431.578544,1739.74883,0.0,12,0.0,0,0.0,0,66.75952400000006,66.75952400000006,0,0,Low-Value
C10188,2881.253586,1.0,117.0,0.0,117.0,17661.49486,0.25,0.0,0.166667,0.75,28,3,4500.0,17301.83238,931.618475,0.166667,12,0.25,0,0.416667,0,1618.7464140000002,1735.7464140000002,0,0,Low-Value
C10206,5698.539876,1.0,47.55,0.0,47.55,2039.52804,0.166667,0.0,0.166667,0.75,14,2,6000.0,2976.579866,3463.1749619999996,0.0,12,0.16666666666666666,0,0.333334,0,301.4601240000002,349.0101240000002,0,0,Low-Value
C10214,1570.682346,1.0,645.32,645.32,0.0,1665.331678,0.166667,0.166667,0.0,0.416667,9,2,1800.0,2591.391006,808.217224,0.0,12,0.16666666666666666,0,0.333334,0,229.31765399999995,874.637654,0,0,Low-Value
C10231,41.642389,0.857143,75.99,75.99,0.0,0.0,0.14285699999999998,0.14285699999999998,0.0,0.0,0,1,2700.0,69.163384,99.401747,0.0,7,0.14285714285714285,0,0.28571399999999997,0,2658.357611,2734.3476109999997,0,0,Low-Value
C10237,1.045584,0.333333,0.0,0.0,0.0,466.64389500000004,0.0,0.0,0.0,0.11111099999999999,1,0,1200.0,1068.581252,25.537,0.5,9,0.0,0,0.0,0,1198.954416,1198.954416,0,0,Low-Value
C10242,2229.8572870000003,1.0,45.65,45.65,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,2500.0,542.7463,628.2110309999999,0.0,12,0.08333333333333333,0,0.166666,0,270.14271299999973,315.7927129999997,0,0,Low-Value
C10254,8.061012,0.363636,133.0,0.0,133.0,0.0,0.25,0.0,0.166667,0.0,0,3,3000.0,130.61272,41.436595000000004,0.181818,12,0.25,0,0.416667,0,2991.938988,3124.938988,0,0,Low-Value
C10259,2344.478291,1.0,1041.63,1041.63,0.0,4003.968939,0.25,0.25,0.0,0.333333,6,14,4000.0,3033.665478,716.70488,0.0,12,1.1666666666666667,0,0.5,0,1655.521709,2697.151709,0,0,Low-Value
C10263,5335.302925,1.0,0.0,0.0,0.0,468.958688,0.0,0.0,0.0,0.166667,2,0,6000.0,1350.318606,1249.937085,0.0,12,0.0,0,0.0,0,664.697075,664.697075,0,0,Low-Value
C10270,1668.591831,1.0,0.0,0.0,0.0,1716.9412350000002,0.0,0.0,0.0,0.166667,5,0,1800.0,2166.981163,568.063083,0.083333,12,0.0,0,0.0,0,131.40816900000004,131.40816900000004,0,0,Low-Value
C10282,3905.365959,1.0,150.8,150.8,0.0,1659.19931,0.166667,0.166667,0.0,0.416667,5,2,7500.0,990.524408,989.783286,0.0,12,0.16666666666666666,0,0.333334,0,3594.634041,3745.434041,0,0,Low-Value
C10286,2.564117,0.181818,47.95,47.95,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1500.0,294.507498,86.245988,0.0,12,0.08333333333333333,0,0.166666,0,1497.435883,1545.3858830000001,0,0,Low-Value
C10287,1873.0845769999999,1.0,126.57,126.57,0.0,181.139378,0.25,0.25,0.0,0.083333,1,4,2100.0,483.557464,524.426392,0.0,12,0.3333333333333333,0,0.5,0,226.91542300000015,353.48542300000014,0,0,Low-Value
C10295,272.711518,0.818182,0.0,0.0,0.0,682.1560509999999,0.0,0.0,0.0,0.083333,2,0,3000.0,2755.877257,144.621645,0.181818,12,0.0,0,0.0,0,2727.288482,2727.288482,0,0,Low-Value
C10296,4246.430225,1.0,0.0,0.0,0.0,9270.408108,0.0,0.0,0.0,0.666667,16,0,7000.0,6010.525656,1793.2626539999999,0.083333,12,0.0,0,0.0,0,2753.569775,2753.569775,0,0,Low-Value
C10297,2420.761135,1.0,0.0,0.0,0.0,567.2337980000001,0.0,0.0,0.0,0.083333,2,0,3000.0,871.7133210000001,609.206784,0.0,12,0.0,0,0.0,0,579.2388649999998,579.2388649999998,0,0,Low-Value
C10300,5469.851311,1.0,0.0,0.0,0.0,512.792701,0.0,0.0,0.0,0.166667,3,0,6000.0,1362.9667980000002,2019.0278829999997,0.0,12,0.0,0,0.0,0,530.1486889999996,530.1486889999996,0,0,Low-Value
C10303,3605.714046,1.0,1779.0,1779.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,5000.0,856.0582800000001,761.012234,0.0,12,0.16666666666666666,0,0.333334,0,1394.285954,3173.285954,0,0,Low-Value
C10304,3992.2618850000003,1.0,0.0,0.0,0.0,348.834361,0.0,0.0,0.0,0.583333,9,0,4000.0,1057.678259,1229.820066,0.0,12,0.0,0,0.0,0,7.738114999999652,7.738114999999652,0,0,Low-Value
C10311,3621.7020399999997,1.0,674.73,674.73,0.0,1684.9574109999999,0.25,0.25,0.0,0.166667,8,12,4000.0,1139.058595,1403.477006,0.0,12,1.0,0,0.5,0,378.29796000000033,1053.0279600000003,0,0,Low-Value
C10313,4338.606862,1.0,0.0,0.0,0.0,1817.569093,0.0,0.0,0.0,0.083333,4,0,8000.0,8019.800702,964.118618,0.0,12,0.0,0,0.0,0,3661.3931380000004,3661.3931380000004,0,0,Low-Value
C10315,9261.310686,1.0,0.0,0.0,0.0,8603.045938,0.0,0.0,0.0,0.416667,10,0,11000.0,1933.4139079999998,2576.552758,0.0,12,0.0,0,0.0,0,1738.6893139999993,1738.6893139999993,0,0,Low-Value
C10319,1613.34907,0.909091,0.0,0.0,0.0,1606.322681,0.0,0.0,0.0,0.181818,3,0,4500.0,312.433361,648.139459,0.0,11,0.0,0,0.0,0,2886.65093,2886.65093,0,0,Low-Value
C10324,927.0419609999999,1.0,0.0,0.0,0.0,402.97416400000003,0.0,0.0,0.0,0.333333,5,0,1000.0,719.974244,339.553093,0.0,12,0.0,0,0.0,0,72.9580390000001,72.9580390000001,0,0,Low-Value
C10325,1872.7676510000001,1.0,0.0,0.0,0.0,3394.509419,0.0,0.0,0.0,0.166667,3,0,5500.0,1151.721386,627.015802,0.0,12,0.0,0,0.0,0,3627.232349,3627.232349,0,0,Low-Value
C10326,185.39631200000002,1.0,0.0,0.0,0.0,842.456926,0.0,0.0,0.0,0.363636,7,0,1000.0,117.54276399999999,137.6915,0.0,11,0.0,0,0.0,0,814.6036879999999,814.6036879999999,0,0,Low-Value
C10327,4823.822993,0.857143,0.0,0.0,0.0,6481.300951,0.0,0.0,0.0,0.14285699999999998,4,0,7000.0,863.62306,1148.631716,0.0,7,0.0,0,0.0,0,2176.1770070000002,2176.1770070000002,0,0,Low-Value
C10331,4732.37354,1.0,14.95,0.0,14.95,2173.356068,0.083333,0.0,0.083333,0.416667,11,1,5700.0,1289.284068,1172.289863,0.0,12,0.08333333333333333,0,0.166666,0,967.6264600000004,982.5764600000005,0,0,Low-Value
C10333,6719.376504999999,1.0,0.0,0.0,0.0,2443.262416,0.0,0.0,0.0,0.333333,7,0,7500.0,1493.089193,2488.976669,0.0,12,0.0,0,0.0,0,780.6234950000007,780.6234950000007,0,0,Low-Value
C10335,1867.6498379999998,1.0,0.0,0.0,0.0,3264.573342,0.0,0.0,0.0,0.666667,9,0,4500.0,476.162309,401.97027599999996,0.0,12,0.0,0,0.0,0,2632.350162,2632.350162,0,0,Low-Value
C10339,850.630114,1.0,0.05,0.05,0.0,1700.634586,0.083333,0.083333,0.0,0.333333,7,1,1000.0,1084.281127,367.409536,0.0,12,0.08333333333333333,0,0.166666,0,149.36988599999995,149.41988599999996,0,0,Low-Value
C10341,2669.160638,1.0,0.0,0.0,0.0,142.141325,0.0,0.0,0.0,0.166667,2,0,3000.0,642.777061,1122.076137,0.0,12,0.0,0,0.0,0,330.83936200000016,330.83936200000016,0,0,Low-Value
C10345,2324.086254,0.909091,0.0,0.0,0.0,1600.7580779999998,0.0,0.0,0.0,0.909091,13,0,2300.0,2147.890523,2077.873573,0.0,11,0.0,0,0.0,0,-24.086253999999826,-24.086253999999826,0,0,Low-Value
C10347,98.364739,0.181818,65.0,0.0,65.0,0.0,0.166667,0.0,0.166667,0.0,0,2,1200.0,718.7943280000001,53.655347,0.0,12,0.16666666666666666,0,0.333334,0,1101.635261,1166.635261,0,0,Low-Value
C10351,907.982017,1.0,216.94,216.94,0.0,1011.997944,0.166667,0.166667,0.0,0.166667,5,3,3200.0,222.02316000000002,300.210049,0.0,12,0.25,0,0.333334,0,2292.0179829999997,2508.957983,0,0,Low-Value
C10353,1254.6691,1.0,361.73,361.73,0.0,198.686744,0.166667,0.166667,0.0,0.083333,1,2,1500.0,535.606816,432.68807999999996,0.0,12,0.16666666666666666,0,0.333334,0,245.33089999999993,607.0609,0,0,Low-Value
C10354,80.336636,0.6,330.0,330.0,0.0,0.0,0.1,0.1,0.0,0.0,0,1,1800.0,345.330572,85.297166,0.0,10,0.1,0,0.2,0,1719.663364,2049.663364,0,0,Low-Value
C10370,214.89654199999998,0.636364,0.0,0.0,0.0,1192.015721,0.0,0.0,0.0,0.083333,1,0,3000.0,2298.902197,214.263752,0.2,12,0.0,0,0.0,0,2785.103458,2785.103458,0,0,Low-Value
C10371,1543.287931,1.0,0.0,0.0,0.0,36.481832,0.0,0.0,0.0,0.083333,1,0,1800.0,548.589391,529.3404879999999,0.0,12,0.0,0,0.0,0,256.71206899999993,256.71206899999993,0,0,Low-Value
C10373,1261.05733,1.0,0.0,0.0,0.0,474.42984299999995,0.0,0.0,0.0,0.25,3,0,1500.0,866.865018,354.38100299999996,0.0,12,0.0,0,0.0,0,238.9426699999999,238.9426699999999,0,0,Low-Value
C10376,813.068705,1.0,439.38,439.38,0.0,727.658311,0.083333,0.083333,0.0,0.25,8,2,1200.0,237.996469,265.708814,0.0,12,0.16666666666666666,0,0.166666,0,386.931295,826.311295,0,0,Low-Value
C10378,237.66931200000002,1.0,259.13,259.13,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,2300.0,2680.635587,2503.3745949999998,0.25,12,0.08333333333333333,0,0.166666,0,2062.330688,2321.460688,0,0,Low-Value
C10380,7760.940543000001,1.0,0.0,0.0,0.0,3423.085934,0.0,0.0,0.0,0.5,10,0,8000.0,2845.010795,2459.741299,0.0,12,0.0,0,0.0,0,239.05945699999938,239.05945699999938,0,0,Low-Value
C10381,6388.1084869999995,1.0,0.0,0.0,0.0,3768.6966780000002,0.0,0.0,0.0,0.25,3,0,8000.0,10973.14532,2384.817152,0.083333,12,0.0,0,0.0,0,1611.8915130000005,1611.8915130000005,0,0,Low-Value
C10384,282.934373,0.181818,0.0,0.0,0.0,2333.150712,0.0,0.0,0.0,0.083333,1,0,3000.0,0.0,,0.0,12,0.0,0,0.0,0,2717.065627,2717.065627,0,0,Low-Value
C10390,241.223955,0.909091,180.91,180.91,0.0,0.0,0.166667,0.166667,0.0,0.0,0,6,1400.0,802.858576,220.455533,0.0,12,0.5,0,0.333334,0,1158.776045,1339.6860450000001,0,0,Low-Value
C10391,1528.571561,1.0,0.0,0.0,0.0,172.931118,0.0,0.0,0.0,0.166667,2,0,1600.0,353.582373,559.030296,0.0,12,0.0,0,0.0,0,71.42843900000003,71.42843900000003,0,0,Low-Value
C10392,12474.72954,1.0,136.88,0.0,136.88,515.147607,0.166667,0.0,0.166667,0.166667,2,2,14000.0,3519.0088590000005,3430.627754,0.0,12,0.16666666666666666,0,0.333334,0,1525.2704599999997,1662.1504599999998,0,0,Low-Value
C10393,566.147105,1.0,0.0,0.0,0.0,187.57235500000002,0.0,0.0,0.0,0.083333,1,0,2000.0,1177.6615769999999,190.365154,0.0,12,0.0,0,0.0,0,1433.852895,1433.852895,0,0,Low-Value
C10395,1077.606225,0.727273,343.21,343.21,0.0,1609.900552,0.25,0.25,0.0,0.333333,8,4,1500.0,930.3280710000001,3245.6934850000002,0.0,12,0.3333333333333333,0,0.5,0,422.393775,765.603775,0,0,Low-Value
C10399,1526.506915,1.0,46.67,46.67,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1800.0,338.413344,642.547142,0.0,12,0.08333333333333333,0,0.166666,0,273.49308500000006,320.1630850000001,0,0,Low-Value
C10400,7957.017218000001,1.0,0.0,0.0,0.0,4909.937494,0.0,0.0,0.0,0.25,4,0,9000.0,677.144841,27631.450719999997,0.0,12,0.0,0,0.0,0,1042.9827819999991,1042.9827819999991,0,0,Low-Value
C10404,681.95925,1.0,98.0,98.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,4000.0,192.36998300000002,221.37594199999998,0.0,12,0.16666666666666666,0,0.333334,0,3318.04075,3416.04075,0,0,Low-Value
C10419,5523.999416,1.0,0.0,0.0,0.0,4087.167822,0.0,0.0,0.0,0.25,4,0,8000.0,0.0,,0.0,12,0.0,0,0.0,0,2476.0005840000003,2476.0005840000003,0,0,Low-Value
C10422,1874.8433940000002,1.0,0.0,0.0,0.0,120.178123,0.0,0.0,0.0,0.083333,1,0,2100.0,444.783009,671.420908,0.0,12,0.0,0,0.0,0,225.15660599999978,225.15660599999978,0,0,Low-Value
C10423,3024.629054,1.0,0.0,0.0,0.0,2171.139178,0.0,0.0,0.0,0.333333,10,0,4500.0,4226.578611,691.692633,0.0,12,0.0,0,0.0,0,1475.370946,1475.370946,0,0,Low-Value
C10427,16.581535000000002,0.125,200.0,0.0,200.0,0.0,0.125,0.0,0.125,0.0,0,2,1200.0,0.0,,0.0,8,0.25,0,0.25,0,1183.418465,1383.418465,0,0,Low-Value
C10428,4664.023286,1.0,340.0,340.0,0.0,3510.1157350000003,0.083333,0.083333,0.0,0.25,8,1,6000.0,2162.141639,2009.821743,0.0,12,0.08333333333333333,0,0.166666,0,1335.9767140000004,1675.9767140000004,0,0,Low-Value
C10436,1452.437463,1.0,0.0,0.0,0.0,114.91871499999999,0.0,0.0,0.0,0.25,3,0,1500.0,331.670616,479.77177400000005,0.0,12,0.0,0,0.0,0,47.56253700000002,47.56253700000002,0,0,Low-Value
C10437,3737.175713,1.0,0.0,0.0,0.0,3017.170336,0.0,0.0,0.0,0.166667,4,0,4500.0,0.0,,0.0,12,0.0,0,0.0,0,762.8242869999999,762.8242869999999,0,0,Low-Value
C10443,1648.721384,1.0,0.0,0.0,0.0,39.646806,0.0,0.0,0.0,0.090909,2,0,1800.0,357.836436,631.106468,0.0,11,0.0,0,0.0,0,151.27861600000006,151.27861600000006,0,0,Low-Value
C10444,6822.877573000001,1.0,137.34,137.34,0.0,4815.112874,0.083333,0.083333,0.0,0.666667,16,1,10000.0,1874.9548940000002,1716.092764,0.0,12,0.08333333333333333,0,0.166666,0,3177.1224269999993,3314.4624269999995,0,0,Low-Value
C10445,8647.057641,1.0,0.0,0.0,0.0,5105.254316,0.0,0.0,0.0,0.416667,14,0,10000.0,2052.533488,1886.2233609999998,0.0,12,0.0,0,0.0,0,1352.9423590000006,1352.9423590000006,0,0,Low-Value
